date,open,high,low,close,daily_trading_volume,RSI_14,BollW,precent_B,BIAS,ROC_1,golden_cross,death_cross,sixth_day_return
2021-02-09,285.04,286.6,280.5833,283.1533,45472952,43.5536,126.0814,0.1587,-52.3444,-24.8197,0.0,0.0,0.013678274784729223
2021-02-10,281.2117,281.6067,266.6733,268.2733,108648272,52.0501,114.0145,0.8398,13.2975,138.9294,0.0,0.0,0.007782030946119431
2021-02-11,270.8133,276.6266,267.2417,270.5533,64868260,46.7935,114.5674,0.3668,-30.3444,-40.2952,0.0,1.0,0.09349165941334361
2021-02-12,267.0867,272.4433,261.7769,272.04,71304936,47.6309,114.4776,0.4522,-20.5954,9.9227,0.0,0.0,0.022408559554610557
2021-02-16,272.6667,273.6667,264.1467,265.4067,59406972,46.184,108.4275,0.3326,-28.5709,-16.686,0.0,0.0,-0.05819236678256655
2021-02-17,259.6967,266.6133,254.0033,266.05,78236696,48.8331,108.4034,0.5704,-1.1565,31.6962,0.0,0.0,0.0876548492194821
2021-02-18,260.3,264.8967,258.7567,262.46,53871176,45.6983,112.3263,0.2802,-28.8871,-31.1433,0.0,0.0,0.009948185055783156
2021-02-19,265.0,265.5966,259.1233,260.4333,56874764,46.1572,113.5406,0.3219,-23.1753,5.5755,0.0,0.0,-0.05975529143336284
2021-02-22,254.2133,256.1667,236.7333,238.1667,111809152,53.8399,118.4829,0.9335,49.5728,96.5883,0.0,0.0,0.04660306022420898
2021-02-23,220.71,237.87,206.3333,232.9467,199820640,62.959,173.4041,1.4067,155.879,78.7158,0.0,0.0,0.050887944104094245
2021-02-24,237.2833,248.3333,231.39,247.34,110300848,51.7586,172.317,0.7225,38.8133,-44.8001,0.0,0.0,0.05110677601912077
2021-02-25,242.05,245.7355,223.5267,227.4067,117071568,52.4477,173.2881,0.752,44.4208,6.1384,0.0,0.0,0.0392842145189039
2021-02-26,233.3333,235.5667,219.8367,225.1667,123267520,53.1077,174.1919,0.7715,47.5874,5.2924,0.0,0.0,0.06207814172679546
2021-03-01,230.0367,290.6667,228.35,239.4767,81408720,48.2364,175.0907,0.4924,-3.51,-33.9577,0.0,0.0,-0.16416755780047546
2021-03-02,239.4267,240.37,228.3333,228.8133,71196472,47.1012,175.9118,0.4235,-13.4675,-12.5444,0.0,0.0,0.008262729655610342
2021-03-03,229.33,233.5667,217.235,217.7333,90623880,49.5343,173.9496,0.5517,9.0195,27.287,0.0,0.0,-0.04508276157804454
2021-03-04,218.6,291.3133,200.0,207.1467,197758592,60.3615,191.7895,1.1208,125.3491,118.2191,0.0,0.0,0.00846165056457845
2021-03-05,208.6867,209.2806,179.83,199.3167,268189376,65.5884,224.821,1.2326,181.3605,35.6145,0.0,0.0,-0.02007246376811588
2021-03-08,200.1833,206.7083,186.2633,187.6667,155360880,53.4328,214.8485,0.7148,59.6157,-42.0705,0.0,0.0,0.0458868564757628
2021-03-09,202.7267,226.03,198.4033,224.5267,202569984,57.0219,210.688,0.8732,97.8413,30.3867,0.0,0.0,-0.03552242978549326
2021-03-10,233.4333,239.2833,218.3533,222.6867,181817024,55.0146,197.5345,0.7594,70.3343,-10.2448,0.0,0.0,0.07448419988976669
